model,round,surviving
Claude-3.5-Haiku,1,1.0
Claude-3.5-Haiku,2,0.62
Claude-3.5-Haiku,3,0.4875
Claude-3.5-Haiku,4,0.3591666666666667
Claude-3.5-Haiku,5,0.27166666666666667
Claude-3.5-Haiku,6,0.21666666666666667
Claude-3.5-Haiku,7,0.18416666666666667
Claude-3.5-Haiku,8,0.16666666666666666
Claude-3.5-Haiku,9,0.15166666666666667
Claude-3.5-Haiku,10,0.14333333333333334
Gemini-3.5-Flash-Lite,1,1.0
Gemini-3.5-Flash-Lite,2,0.8775
Gemini-3.5-Flash-Lite,3,0.8091666666666667
Gemini-3.5-Flash-Lite,4,0.7108333333333333
Gemini-3.5-Flash-Lite,5,0.6633333333333333
Gemini-3.5-Flash-Lite,6,0.595
Gemini-3.5-Flash-Lite,7,0.5533333333333333
Gemini-3.5-Flash-Lite,8,0.5283333333333333
Gemini-3.5-Flash-Lite,9,0.5025
Gemini-3.5-Flash-Lite,10,0.43583333333333335
GPT-4o,1,1.0
GPT-4o,2,0.7808333333333334
GPT-4o,3,0.675
GPT-4o,4,0.5491666666666667
GPT-4o,5,0.45916666666666667
GPT-4o,6,0.405
GPT-4o,7,0.3475
GPT-4o,8,0.31583333333333335
GPT-4o,9,0.2941666666666667
GPT-4o,10,0.2758333333333333
Mistral-Large,1,1.0
Mistral-Large,2,0.68
Mistral-Large,3,0.635
Mistral-Large,4,0.5916666666666667
Mistral-Large,5,0.5841666666666666
Mistral-Large,6,0.5566666666666666
Mistral-Large,7,0.5458333333333333
Mistral-Large,8,0.5208333333333334
Mistral-Large,9,0.5058333333333334
Mistral-Large,10,0.49833333333333335
