model,factor,level,archetype,share,lo,hi,n
Claude-3.5-Haiku,scale_nominal,0.1,AllC,0.2825,0.235,0.33,400
Claude-3.5-Haiku,scale_nominal,0.1,TFT,0.2075,0.1675,0.25,400
Claude-3.5-Haiku,scale_nominal,0.1,WSLS,0.145,0.1075,0.1825,400
Claude-3.5-Haiku,scale_nominal,0.1,AllD,0.35,0.3,0.4,400
Claude-3.5-Haiku,scale_nominal,0.1,Ambiguous,0.015,0.0,0.035,400
Claude-3.5-Haiku,scale_nominal,1.0,AllC,0.4075,0.3575,0.4575,400
Claude-3.5-Haiku,scale_nominal,1.0,TFT,0.1925,0.155,0.23,400
Claude-3.5-Haiku,scale_nominal,1.0,WSLS,0.2175,0.17,0.2675,400
Claude-3.5-Haiku,scale_nominal,1.0,AllD,0.1025,0.07,0.1375,400
Claude-3.5-Haiku,scale_nominal,1.0,Ambiguous,0.08,0.045,0.12,400
Claude-3.5-Haiku,scale_nominal,10.0,AllC,0.4375,0.3875,0.49,400
Claude-3.5-Haiku,scale_nominal,10.0,TFT,0.2325,0.1925,0.27256249999999965,400
Claude-3.5-Haiku,scale_nominal,10.0,WSLS,0.175,0.13,0.2225,400
Claude-3.5-Haiku,scale_nominal,10.0,AllD,0.11,0.0775,0.145,400
Claude-3.5-Haiku,scale_nominal,10.0,Ambiguous,0.045,0.02,0.075,400
Claude-3.5-Haiku,language,ar,AllC,0.4708333333333333,0.4041666666666667,0.5416666666666666,240
Claude-3.5-Haiku,language,ar,TFT,0.17916666666666667,0.13333333333333333,0.22916666666666666,240
Claude-3.5-Haiku,language,ar,WSLS,0.11666666666666667,0.07083333333333333,0.16666666666666666,240
Claude-3.5-Haiku,language,ar,AllD,0.21666666666666667,0.1625,0.2709374999999994,240
Claude-3.5-Haiku,language,ar,Ambiguous,0.016666666666666666,0.0,0.041666666666666664,240
Claude-3.5-Haiku,language,cn,AllC,0.4125,0.3541666666666667,0.475,240
Claude-3.5-Haiku,language,cn,TFT,0.24166666666666667,0.18333333333333332,0.29177083333333276,240
Claude-3.5-Haiku,language,cn,WSLS,0.16666666666666666,0.11666666666666667,0.22083333333333333,240
Claude-3.5-Haiku,language,cn,AllD,0.17916666666666667,0.125,0.22916666666666666,240
Claude-3.5-Haiku,language,cn,Ambiguous,0.0,0.0,0.0,240
Claude-3.5-Haiku,language,en,AllC,0.30416666666666664,0.2375,0.37083333333333335,240
Claude-3.5-Haiku,language,en,TFT,0.25833333333333336,0.2040625,0.3126041666666661,240
Claude-3.5-Haiku,language,en,WSLS,0.225,0.15833333333333333,0.2916666666666667,240
Claude-3.5-Haiku,language,en,AllD,0.20416666666666666,0.14583333333333334,0.26666666666666666,240
Claude-3.5-Haiku,language,en,Ambiguous,0.008333333333333333,0.0,0.025,240
Claude-3.5-Haiku,language,fr,AllC,0.3458333333333333,0.2791666666666667,0.4125,240
Claude-3.5-Haiku,language,fr,TFT,0.24583333333333332,0.1875,0.30416666666666664,240
Claude-3.5-Haiku,language,fr,WSLS,0.2375,0.175,0.30416666666666664,240
Claude-3.5-Haiku,language,fr,AllD,0.15416666666666667,0.10416666666666667,0.2125,240
Claude-3.5-Haiku,language,fr,Ambiguous,0.016666666666666666,0.0,0.041666666666666664,240
Claude-3.5-Haiku,language,vn,AllC,0.3458333333333333,0.275,0.4125,240
Claude-3.5-Haiku,language,vn,TFT,0.12916666666666668,0.0875,0.17083333333333334,240
Claude-3.5-Haiku,language,vn,WSLS,0.15,0.09583333333333334,0.2001041666666661,240
Claude-3.5-Haiku,language,vn,AllD,0.18333333333333332,0.12916666666666668,0.24583333333333332,240
Claude-3.5-Haiku,language,vn,Ambiguous,0.19166666666666668,0.125,0.26666666666666666,240
Claude-3.5-Haiku,personality,cooperative,AllC,0.2783333333333333,0.2405876476567703,0.31748927407883265,600
Claude-3.5-Haiku,personality,cooperative,TFT,0.17166666666666666,0.14260011076084178,0.2026578073089701,600
Claude-3.5-Haiku,personality,cooperative,WSLS,0.17666666666666667,0.1412023170037379,0.21501884528785628,600
Claude-3.5-Haiku,personality,cooperative,AllD,0.32,0.277395101876367,0.36198633776621775,600
Claude-3.5-Haiku,personality,cooperative,Ambiguous,0.05333333333333334,0.031556253632007716,0.075667273814702,600
Claude-3.5-Haiku,personality,selfish,AllC,0.47333333333333333,0.43287676651934304,0.5149539287386564,600
Claude-3.5-Haiku,personality,selfish,TFT,0.25,0.21510406403940885,0.2850061475409835,600
Claude-3.5-Haiku,personality,selfish,WSLS,0.18166666666666667,0.1488618472841774,0.21761806433011371,600
Claude-3.5-Haiku,personality,selfish,AllD,0.055,0.036971693199893026,0.07345575959933222,600
Claude-3.5-Haiku,personality,selfish,Ambiguous,0.04,0.021848739495798318,0.06080027027027027,600
Claude-3.5-Haiku,dyad,CvC,AllC,0.20333333333333334,0.15333333333333332,0.25666666666666665,300
Claude-3.5-Haiku,dyad,CvC,TFT,0.15,0.11,0.19333333333333333,300
Claude-3.5-Haiku,dyad,CvC,WSLS,0.22333333333333333,0.16666666666666666,0.2866666666666667,300
Claude-3.5-Haiku,dyad,CvC,AllD,0.3566666666666667,0.28991666666666666,0.4267499999999996,300
Claude-3.5-Haiku,dyad,CvC,Ambiguous,0.06666666666666667,0.02666666666666667,0.10683333333333243,300
Claude-3.5-Haiku,dyad,CvS,AllC,0.35333333333333333,0.3,0.4066666666666667,300
Claude-3.5-Haiku,dyad,CvS,TFT,0.19333333333333333,0.15,0.24,300
Claude-3.5-Haiku,dyad,CvS,WSLS,0.13,0.09333333333333334,0.16674999999999954,300
Claude-3.5-Haiku,dyad,CvS,AllD,0.2833333333333333,0.23333333333333334,0.3333333333333333,300
Claude-3.5-Haiku,dyad,CvS,Ambiguous,0.04,0.02,0.06333333333333334,300
Claude-3.5-Haiku,dyad,SvC,AllC,0.49333333333333335,0.43666666666666665,0.55,300
Claude-3.5-Haiku,dyad,SvC,TFT,0.23333333333333334,0.18666666666666668,0.28,300
Claude-3.5-Haiku,dyad,SvC,WSLS,0.18333333333333332,0.13666666666666666,0.22674999999999954,300
Claude-3.5-Haiku,dyad,SvC,AllD,0.05,0.02666666666666667,0.07666666666666666,300
Claude-3.5-Haiku,dyad,SvC,Ambiguous,0.04,0.02,0.06333333333333334,300
Claude-3.5-Haiku,dyad,SvS,AllC,0.4533333333333333,0.3933333333333333,0.52,300
Claude-3.5-Haiku,dyad,SvS,TFT,0.26666666666666666,0.21666666666666667,0.32,300
Claude-3.5-Haiku,dyad,SvS,WSLS,0.18,0.13,0.23333333333333334,300
Claude-3.5-Haiku,dyad,SvS,AllD,0.06,0.03333333333333333,0.09,300
Claude-3.5-Haiku,dyad,SvS,Ambiguous,0.04,0.013333333333333334,0.07333333333333333,300
Gemini-3.5-Flash-Lite,scale_nominal,0.1,AllC,0.3075,0.2625,0.3575,400
Gemini-3.5-Flash-Lite,scale_nominal,0.1,TFT,0.0725,0.0475,0.0975,400
Gemini-3.5-Flash-Lite,scale_nominal,0.1,WSLS,0.0975,0.07,0.1275,400
Gemini-3.5-Flash-Lite,scale_nominal,0.1,AllD,0.2325,0.18,0.29,400
Gemini-3.5-Flash-Lite,scale_nominal,0.1,Ambiguous,0.29,0.225,0.35,400
Gemini-3.5-Flash-Lite,scale_nominal,1.0,AllC,0.4125,0.3674375,0.4575,400
Gemini-3.5-Flash-Lite,scale_nominal,1.0,TFT,0.18,0.14,0.225,400
Gemini-3.5-Flash-Lite,scale_nominal,1.0,WSLS,0.2225,0.185,0.2625,400
Gemini-3.5-Flash-Lite,scale_nominal,1.0,AllD,0.02,0.0075,0.035,400
Gemini-3.5-Flash-Lite,scale_nominal,1.0,Ambiguous,0.165,0.115,0.22,400
Gemini-3.5-Flash-Lite,scale_nominal,10.0,AllC,0.3875,0.3375,0.4375,400
Gemini-3.5-Flash-Lite,scale_nominal,10.0,TFT,0.145,0.11,0.1825,400
Gemini-3.5-Flash-Lite,scale_nominal,10.0,WSLS,0.1975,0.155,0.23756249999999965,400
Gemini-3.5-Flash-Lite,scale_nominal,10.0,AllD,0.075,0.05,0.1025,400
Gemini-3.5-Flash-Lite,scale_nominal,10.0,Ambiguous,0.195,0.14,0.255,400
Gemini-3.5-Flash-Lite,language,ar,AllC,0.42083333333333334,0.35,0.49166666666666664,240
Gemini-3.5-Flash-Lite,language,ar,TFT,0.10833333333333334,0.07083333333333333,0.15,240
Gemini-3.5-Flash-Lite,language,ar,WSLS,0.12083333333333333,0.075,0.17083333333333334,240
Gemini-3.5-Flash-Lite,language,ar,AllD,0.06666666666666667,0.029166666666666667,0.10833333333333334,240
Gemini-3.5-Flash-Lite,language,ar,Ambiguous,0.2833333333333333,0.20833333333333334,0.36666666666666664,240
Gemini-3.5-Flash-Lite,language,cn,AllC,0.3125,0.25416666666666665,0.36666666666666664,240
Gemini-3.5-Flash-Lite,language,cn,TFT,0.15416666666666667,0.10833333333333334,0.20416666666666666,240
Gemini-3.5-Flash-Lite,language,cn,WSLS,0.24583333333333332,0.19166666666666668,0.30416666666666664,240
Gemini-3.5-Flash-Lite,language,cn,AllD,0.05,0.016666666666666666,0.09166666666666666,240
Gemini-3.5-Flash-Lite,language,cn,Ambiguous,0.2375,0.16666666666666666,0.3126041666666661,240
Gemini-3.5-Flash-Lite,language,en,AllC,0.30416666666666664,0.24166666666666667,0.36666666666666664,240
Gemini-3.5-Flash-Lite,language,en,TFT,0.16666666666666666,0.11666666666666667,0.22083333333333333,240
Gemini-3.5-Flash-Lite,language,en,WSLS,0.13333333333333333,0.09166666666666666,0.175,240
Gemini-3.5-Flash-Lite,language,en,AllD,0.15416666666666667,0.10416666666666667,0.2125,240
Gemini-3.5-Flash-Lite,language,en,Ambiguous,0.24166666666666667,0.16666666666666666,0.31666666666666665,240
Gemini-3.5-Flash-Lite,language,fr,AllC,0.42083333333333334,0.3625,0.47927083333333276,240
Gemini-3.5-Flash-Lite,language,fr,TFT,0.10416666666666667,0.06666666666666667,0.14166666666666666,240
Gemini-3.5-Flash-Lite,language,fr,WSLS,0.1625,0.1125,0.21666666666666667,240
Gemini-3.5-Flash-Lite,language,fr,AllD,0.12916666666666668,0.07916666666666666,0.17916666666666667,240
Gemini-3.5-Flash-Lite,language,fr,Ambiguous,0.18333333333333332,0.11666666666666667,0.25,240
Gemini-3.5-Flash-Lite,language,vn,AllC,0.3875,0.3333333333333333,0.44166666666666665,240
Gemini-3.5-Flash-Lite,language,vn,TFT,0.12916666666666668,0.0875,0.17916666666666667,240
Gemini-3.5-Flash-Lite,language,vn,WSLS,0.2,0.15416666666666667,0.25,240
Gemini-3.5-Flash-Lite,language,vn,AllD,0.14583333333333334,0.09166666666666666,0.20427083333333276,240
Gemini-3.5-Flash-Lite,language,vn,Ambiguous,0.1375,0.08322916666666667,0.19583333333333333,240
Gemini-3.5-Flash-Lite,personality,cooperative,AllC,0.31333333333333335,0.27515945153117916,0.3548084903585305,600
Gemini-3.5-Flash-Lite,personality,cooperative,TFT,0.125,0.0984933917640512,0.15359780736618972,600
Gemini-3.5-Flash-Lite,personality,cooperative,WSLS,0.15,0.1177473695232597,0.18288946554400384,600
Gemini-3.5-Flash-Lite,personality,cooperative,AllD,0.17166666666666666,0.13157354593380002,0.210706611274264,600
