model,round,outcome,share
Claude-Haiku-4.5,1,CC,0.098
Claude-Haiku-4.5,2,CC,0.167
Claude-Haiku-4.5,3,CC,0.2955
Claude-Haiku-4.5,4,CC,0.2635
Claude-Haiku-4.5,5,CC,0.257
Claude-Haiku-4.5,6,CC,0.273
Claude-Haiku-4.5,7,CC,0.2725
Claude-Haiku-4.5,8,CC,0.2865
Claude-Haiku-4.5,9,CC,0.276
Claude-Haiku-4.5,10,CC,0.274
Claude-Haiku-4.5,1,CD,0.1355
Claude-Haiku-4.5,2,CD,0.114
Claude-Haiku-4.5,3,CD,0.139
Claude-Haiku-4.5,4,CD,0.11
Claude-Haiku-4.5,5,CD,0.128
Claude-Haiku-4.5,6,CD,0.104
Claude-Haiku-4.5,7,CD,0.116
Claude-Haiku-4.5,8,CD,0.1315
Claude-Haiku-4.5,9,CD,0.1185
Claude-Haiku-4.5,10,CD,0.1405
Claude-Haiku-4.5,1,DC,0.1805
Claude-Haiku-4.5,2,DC,0.212
Claude-Haiku-4.5,3,DC,0.156
Claude-Haiku-4.5,4,DC,0.2305
Claude-Haiku-4.5,5,DC,0.1965
Claude-Haiku-4.5,6,DC,0.222
Claude-Haiku-4.5,7,DC,0.226
Claude-Haiku-4.5,8,DC,0.218
Claude-Haiku-4.5,9,DC,0.2365
Claude-Haiku-4.5,10,DC,0.255
Claude-Haiku-4.5,1,DD,0.586
Claude-Haiku-4.5,2,DD,0.507
Claude-Haiku-4.5,3,DD,0.4095
Claude-Haiku-4.5,4,DD,0.396
Claude-Haiku-4.5,5,DD,0.4185
Claude-Haiku-4.5,6,DD,0.401
Claude-Haiku-4.5,7,DD,0.3855
Claude-Haiku-4.5,8,DD,0.364
Claude-Haiku-4.5,9,DD,0.369
Claude-Haiku-4.5,10,DD,0.3305
Qwen3-235B-A22B,1,CC,0.2615
Qwen3-235B-A22B,2,CC,0.192
Qwen3-235B-A22B,3,CC,0.1935
Qwen3-235B-A22B,4,CC,0.1845
Qwen3-235B-A22B,5,CC,0.1715
Qwen3-235B-A22B,6,CC,0.117
Qwen3-235B-A22B,7,CC,0.1015
Qwen3-235B-A22B,8,CC,0.0985
Qwen3-235B-A22B,9,CC,0.079
Qwen3-235B-A22B,10,CC,0.1845
Qwen3-235B-A22B,1,CD,0.2485
Qwen3-235B-A22B,2,CD,0.318
Qwen3-235B-A22B,3,CD,0.2635
Qwen3-235B-A22B,4,CD,0.3155
Qwen3-235B-A22B,5,CD,0.331
Qwen3-235B-A22B,6,CD,0.392
Qwen3-235B-A22B,7,CD,0.389
Qwen3-235B-A22B,8,CD,0.399
Qwen3-235B-A22B,9,CD,0.4225
Qwen3-235B-A22B,10,CD,0.393
Qwen3-235B-A22B,1,DC,0.248
Qwen3-235B-A22B,2,DC,0.2195
Qwen3-235B-A22B,3,DC,0.217
Qwen3-235B-A22B,4,DC,0.1945
Qwen3-235B-A22B,5,DC,0.188
Qwen3-235B-A22B,6,DC,0.1875
Qwen3-235B-A22B,7,DC,0.204
Qwen3-235B-A22B,8,DC,0.225
Qwen3-235B-A22B,9,DC,0.2295
Qwen3-235B-A22B,10,DC,0.1505
Qwen3-235B-A22B,1,DD,0.242
Qwen3-235B-A22B,2,DD,0.2705
Qwen3-235B-A22B,3,DD,0.326
Qwen3-235B-A22B,4,DD,0.3055
Qwen3-235B-A22B,5,DD,0.3095
Qwen3-235B-A22B,6,DD,0.3035
Qwen3-235B-A22B,7,DD,0.3055
Qwen3-235B-A22B,8,DD,0.2775
Qwen3-235B-A22B,9,DD,0.269
Qwen3-235B-A22B,10,DD,0.272
GPT-5.4-Nano,1,CC,0.3205
GPT-5.4-Nano,2,CC,0.3825
GPT-5.4-Nano,3,CC,0.407
GPT-5.4-Nano,4,CC,0.429
GPT-5.4-Nano,5,CC,0.401
GPT-5.4-Nano,6,CC,0.445
GPT-5.4-Nano,7,CC,0.433
GPT-5.4-Nano,8,CC,0.4435
GPT-5.4-Nano,9,CC,0.442
GPT-5.4-Nano,10,CC,0.452
GPT-5.4-Nano,1,CD,0.152
GPT-5.4-Nano,2,CD,0.2095
GPT-5.4-Nano,3,CD,0.184
GPT-5.4-Nano,4,CD,0.171
GPT-5.4-Nano,5,CD,0.1815
GPT-5.4-Nano,6,CD,0.142
GPT-5.4-Nano,7,CD,0.1455
GPT-5.4-Nano,8,CD,0.1465
GPT-5.4-Nano,9,CD,0.122
GPT-5.4-Nano,10,CD,0.137
GPT-5.4-Nano,1,DC,0.2545
GPT-5.4-Nano,2,DC,0.2185
GPT-5.4-Nano,3,DC,0.235
GPT-5.4-Nano,4,DC,0.2175
GPT-5.4-Nano,5,DC,0.212
GPT-5.4-Nano,6,DC,0.2255
GPT-5.4-Nano,7,DC,0.216
GPT-5.4-Nano,8,DC,0.2165
GPT-5.4-Nano,9,DC,0.2365
GPT-5.4-Nano,10,DC,0.1935
GPT-5.4-Nano,1,DD,0.273
GPT-5.4-Nano,2,DD,0.1895
GPT-5.4-Nano,3,DD,0.174
GPT-5.4-Nano,4,DD,0.1825
GPT-5.4-Nano,5,DD,0.2055
GPT-5.4-Nano,6,DD,0.1875
GPT-5.4-Nano,7,DD,0.2055
GPT-5.4-Nano,8,DD,0.1935
GPT-5.4-Nano,9,DD,0.1995
GPT-5.4-Nano,10,DD,0.2175
Gemini-3.1-Flash-Lite,1,CC,0.59
Gemini-3.1-Flash-Lite,2,CC,0.482
Gemini-3.1-Flash-Lite,3,CC,0.398
Gemini-3.1-Flash-Lite,4,CC,0.3825
Gemini-3.1-Flash-Lite,5,CC,0.319
Gemini-3.1-Flash-Lite,6,CC,0.3095
Gemini-3.1-Flash-Lite,7,CC,0.295
Gemini-3.1-Flash-Lite,8,CC,0.2805
Gemini-3.1-Flash-Lite,9,CC,0.261
Gemini-3.1-Flash-Lite,10,CC,0.263
Gemini-3.1-Flash-Lite,1,CD,0.185
Gemini-3.1-Flash-Lite,2,CD,0.223
Gemini-3.1-Flash-Lite,3,CD,0.251
Gemini-3.1-Flash-Lite,4,CD,0.2615
Gemini-3.1-Flash-Lite,5,CD,0.2865
Gemini-3.1-Flash-Lite,6,CD,0.2915
Gemini-3.1-Flash-Lite,7,CD,0.312
Gemini-3.1-Flash-Lite,8,CD,0.309
Gemini-3.1-Flash-Lite,9,CD,0.295
Gemini-3.1-Flash-Lite,10,CD,0.28
Gemini-3.1-Flash-Lite,1,DC,0.132
Gemini-3.1-Flash-Lite,2,DC,0.2275
Gemini-3.1-Flash-Lite,3,DC,0.256
Gemini-3.1-Flash-Lite,4,DC,0.2475
Gemini-3.1-Flash-Lite,5,DC,0.267
Gemini-3.1-Flash-Lite,6,DC,0.278
Gemini-3.1-Flash-Lite,7,DC,0.2715
Gemini-3.1-Flash-Lite,8,DC,0.2765
Gemini-3.1-Flash-Lite,9,DC,0.2725
Gemini-3.1-Flash-Lite,10,DC,0.26
Gemini-3.1-Flash-Lite,1,DD,0.093
Gemini-3.1-Flash-Lite,2,DD,0.0675
Gemini-3.1-Flash-Lite,3,DD,0.095
Gemini-3.1-Flash-Lite,4,DD,0.1085
Gemini-3.1-Flash-Lite,5,DD,0.1275
Gemini-3.1-Flash-Lite,6,DD,0.121
Gemini-3.1-Flash-Lite,7,DD,0.1215
Gemini-3.1-Flash-Lite,8,DD,0.134
Gemini-3.1-Flash-Lite,9,DD,0.1715
Gemini-3.1-Flash-Lite,10,DD,0.197
Grok-4.20-Non-Reasoning,1,CC,0.3925
Grok-4.20-Non-Reasoning,2,CC,0.456
Grok-4.20-Non-Reasoning,3,CC,0.524
Grok-4.20-Non-Reasoning,4,CC,0.579
Grok-4.20-Non-Reasoning,5,CC,0.632
Grok-4.20-Non-Reasoning,6,CC,0.6795
Grok-4.20-Non-Reasoning,7,CC,0.7155
Grok-4.20-Non-Reasoning,8,CC,0.751
Grok-4.20-Non-Reasoning,9,CC,0.77
Grok-4.20-Non-Reasoning,10,CC,0.8
Grok-4.20-Non-Reasoning,1,CD,0.1025
Grok-4.20-Non-Reasoning,2,CD,0.107
Grok-4.20-Non-Reasoning,3,CD,0.083
Grok-4.20-Non-Reasoning,4,CD,0.08
Grok-4.20-Non-Reasoning,5,CD,0.069
Grok-4.20-Non-Reasoning,6,CD,0.048
Grok-4.20-Non-Reasoning,7,CD,0.045
Grok-4.20-Non-Reasoning,8,CD,0.038
Grok-4.20-Non-Reasoning,9,CD,0.031
Grok-4.20-Non-Reasoning,10,CD,0.0335
Grok-4.20-Non-Reasoning,1,DC,0.2095
Grok-4.20-Non-Reasoning,2,DC,0.133
Grok-4.20-Non-Reasoning,3,DC,0.1465
Grok-4.20-Non-Reasoning,4,DC,0.134
Grok-4.20-Non-Reasoning,5,DC,0.112
Grok-4.20-Non-Reasoning,6,DC,0.0885
Grok-4.20-Non-Reasoning,7,DC,0.071
Grok-4.20-Non-Reasoning,8,DC,0.052
Grok-4.20-Non-Reasoning,9,DC,0.042
Grok-4.20-Non-Reasoning,10,DC,0.035
Grok-4.20-Non-Reasoning,1,DD,0.2955
Grok-4.20-Non-Reasoning,2,DD,0.304
Grok-4.20-Non-Reasoning,3,DD,0.2465
Grok-4.20-Non-Reasoning,4,DD,0.207
Grok-4.20-Non-Reasoning,5,DD,0.187
Grok-4.20-Non-Reasoning,6,DD,0.184
Grok-4.20-Non-Reasoning,7,DD,0.1685
Grok-4.20-Non-Reasoning,8,DD,0.159
Grok-4.20-Non-Reasoning,9,DD,0.157
Grok-4.20-Non-Reasoning,10,DD,0.1315
Gemini-3.5-Flash-Lite,1,CC,0.681
Gemini-3.5-Flash-Lite,2,CC,0.72
Gemini-3.5-Flash-Lite,3,CC,0.7175
Gemini-3.5-Flash-Lite,4,CC,0.673
Gemini-3.5-Flash-Lite,5,CC,0.6865
Gemini-3.5-Flash-Lite,6,CC,0.6045
Gemini-3.5-Flash-Lite,7,CC,0.603
Gemini-3.5-Flash-Lite,8,CC,0.5815
Gemini-3.5-Flash-Lite,9,CC,0.5045
Gemini-3.5-Flash-Lite,10,CC,0.4735
Gemini-3.5-Flash-Lite,1,CD,0.112
Gemini-3.5-Flash-Lite,2,CD,0.108
Gemini-3.5-Flash-Lite,3,CD,0.0985
Gemini-3.5-Flash-Lite,4,CD,0.1215
Gemini-3.5-Flash-Lite,5,CD,0.099
Gemini-3.5-Flash-Lite,6,CD,0.15
Gemini-3.5-Flash-Lite,7,CD,0.138
Gemini-3.5-Flash-Lite,8,CD,0.1215
Gemini-3.5-Flash-Lite,9,CD,0.141
Gemini-3.5-Flash-Lite,10,CD,0.1495
Gemini-3.5-Flash-Lite,1,DC,0.142
Gemini-3.5-Flash-Lite,2,DC,0.103
Gemini-3.5-Flash-Lite,3,DC,0.102
Gemini-3.5-Flash-Lite,4,DC,0.1165
Gemini-3.5-Flash-Lite,5,DC,0.103
Gemini-3.5-Flash-Lite,6,DC,0.121
Gemini-3.5-Flash-Lite,7,DC,0.1295
Gemini-3.5-Flash-Lite,8,DC,0.142
Gemini-3.5-Flash-Lite,9,DC,0.1695
Gemini-3.5-Flash-Lite,10,DC,0.158
Gemini-3.5-Flash-Lite,1,DD,0.065
Gemini-3.5-Flash-Lite,2,DD,0.069
Gemini-3.5-Flash-Lite,3,DD,0.082
Gemini-3.5-Flash-Lite,4,DD,0.089
Gemini-3.5-Flash-Lite,5,DD,0.1115
Gemini-3.5-Flash-Lite,6,DD,0.1245
Gemini-3.5-Flash-Lite,7,DD,0.1295
Gemini-3.5-Flash-Lite,8,DD,0.155
Gemini-3.5-Flash-Lite,9,DD,0.185
Gemini-3.5-Flash-Lite,10,DD,0.219
