arm,model,from,to,shift,lo,hi,toward_compliance,significant
frontier,Claude-3.5-Haiku,fractional,unit,0.2556666666666668,0.1961541666666666,0.31633333333333324,1,1
frontier,GPT-4o,fractional,unit,0.6908244739756366,0.6248766057585825,0.7535680786267998,1,1
frontier,Gemini-3.5-Flash-Lite,fractional,unit,0.7070000000000003,0.6381541666666666,0.7796666666666666,1,1
frontier,Mistral-Large,fractional,unit,0.3955000000000001,0.3081583333333332,0.4895166666666667,1,1
open-weight,Gemma-3-12B,fractional,unit,0.24411111111111117,0.15305416666666677,0.3431680555555556,1,1
open-weight,Gemma-3-12B,unit,large,-0.20522222222222236,-0.3071722222222224,-0.10927500000000004,0,1
open-weight,Llama-3.1-8B,fractional,unit,0.05216666666666675,0.019218055555555585,0.08777777777777784,1,1
open-weight,Llama-3.1-8B,unit,large,-0.04855555555555546,-0.08544583333333337,-0.01260833333333342,0,1
open-weight,Qwen3-8B,fractional,unit,0.19222222222222207,0.11493333333333314,0.2646166666666668,1,1
open-weight,Qwen3-8B,unit,large,-0.057722222222222064,-0.13150694444444438,0.017729166666666716,0,0
