model,contrast,estimate,lo,hi,n_dyads,n_boot
Claude-Haiku-4.5,reciprocity,0.24251121840533651,0.22699690934360636,0.2582344492021713,2000,4000
Claude-Haiku-4.5,persistence,0.2880650930061098,0.2730269479550372,0.3027683621804323,2000,4000
Claude-Haiku-4.5,matching,0.1722407800993893,0.1587004347681508,0.18596069344836247,2000,4000
GPT-5.4-Nano,reciprocity,0.14144877674589376,0.12671754835666443,0.15598576365050362,2000,4000
GPT-5.4-Nano,persistence,0.27684751455427026,0.26261857806614614,0.29066360314486167,2000,4000
GPT-5.4-Nano,matching,0.05289679393002858,0.039890628883499216,0.0664196044247007,2000,4000
Gemini-3.1-Flash-Lite-Preview,reciprocity,-0.17148331399850697,-0.18471912488479894,-0.15825516872122827,2000,4000
Gemini-3.1-Flash-Lite-Preview,persistence,0.6197077262771769,0.6060703827092992,0.6334605938148913,2000,4000
Gemini-3.1-Flash-Lite-Preview,matching,0.1678574490984482,0.1566311333260296,0.17877706607105448,2000,4000
Gemini-3.5-Flash-Lite,reciprocity,0.16886666442584541,0.15318398771574832,0.18465198614653858,2000,4000
Gemini-3.5-Flash-Lite,persistence,0.5732850593762511,0.5554910018208684,0.5896522794869055,2000,4000
Gemini-3.5-Flash-Lite,matching,0.020476831610889396,0.006242681788036196,0.03493939454094714,2000,4000
Grok-4.20-Non-Reasoning,reciprocity,0.18867157040875376,0.17480706182575467,0.20317763632239752,2000,4000
Grok-4.20-Non-Reasoning,persistence,0.6902419221675475,0.6764482865524892,0.7039625728944747,2000,4000
Grok-4.20-Non-Reasoning,matching,0.006680102721878134,-0.0058279840560618275,0.019305595539114113,2000,4000
Qwen3-235B-A22B,reciprocity,-0.09476188738760517,-0.10692901945468947,-0.08324431188016773,2000,4000
Qwen3-235B-A22B,persistence,0.7488879523559845,0.7348148214367526,0.7624423432797612,2000,4000
Qwen3-235B-A22B,matching,-0.08501209838061752,-0.09592594649890934,-0.07429510203961244,2000,4000
